ID,raw_data,,,,,,,,,,,,,,,,,,osl_idx,magnitude,Flip,Rotate,Poster,RBC,FanPCA,SSR,RTC,mIoU,,IoU[0],IoU[1],IoU[2],IoU[3],baseline,residual
num-14_mag-30_osl-4 ,"num-14_mag-30_osl-4 Epoch 150 | train | mIoU 0.143 | accuracy 0.574 | loss 1.146 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 1.087 | time idk best model at epoch 4 with miou 0.18808 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomToneCurve(always_apply=False, p=1, scale=1.0)) test | mIoU 0.177 | accuracy 0.584 | loss 1.317 IoUs: [0.58931865 0.00175922 0.10329423 0.01193923]",num-14_mag-30_osl-4 Epoch 150 , train , mIoU 0.143 , accuracy 0.574 , loss 1.146 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 1.087 ," time idk best model at epoch 4 with miou 0.18808 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomToneCurve(always_apply=False, p=1, scale=1.0)) test ", mIoU 0.177 , accuracy 0.584 , loss 1.317 IoUs: [0.58931865 0.00175922 0.10329423 0.01193923],,,,4,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,17.66,0.58931865 0.00175922 0.10329423 0.01193923,0.58931865,0.00175922,0.10329423,0.01193923,65.2,-47.54
num-12_mag-30_osl-1 ,"num-12_mag-30_osl-1 Epoch 150 | train | mIoU 0.171 | accuracy 0.684 | loss 0.953 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.891 | time idk best model at epoch 4 with miou 0.19160 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test | mIoU 0.179 | accuracy 0.588 | loss 1.312 IoUs: [0.59267116 0.0033197 0.10678536 0.01165286]",num-12_mag-30_osl-1 Epoch 150 , train , mIoU 0.171 , accuracy 0.684 , loss 0.953 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.891 ," time idk best model at epoch 4 with miou 0.19160 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test ", mIoU 0.179 , accuracy 0.588 , loss 1.312 IoUs: [0.59267116 0.0033197 0.10678536 0.01165286],,,,1,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,17.86,0.59267116 0.0033197 0.10678536 0.01165286,0.59267116,0.0033197,0.10678536,0.01165286,75.1,-57.24
num-13_mag-30_osl-15 ,"num-13_mag-30_osl-15 Epoch 150 | train | mIoU 0.170 | accuracy 0.679 | loss 0.859 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.798 | time idk best model at epoch 4 with miou 0.18992 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test | mIoU 0.180 | accuracy 0.613 | loss 1.305 IoUs: [0.62518705 0.00874409 0.06961895 0.01688857]",num-13_mag-30_osl-15 Epoch 150 , train , mIoU 0.170 , accuracy 0.679 , loss 0.859 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.798 ," time idk best model at epoch 4 with miou 0.18992 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test ", mIoU 0.180 , accuracy 0.613 , loss 1.305 IoUs: [0.62518705 0.00874409 0.06961895 0.01688857],,,,15,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18.01,0.62518705 0.00874409 0.06961895 0.01688857,0.62518705,0.00874409,0.06961895,0.01688857,63.9,-45.89
num-14_mag-30_osl-12 ,"num-14_mag-30_osl-12 Epoch 150 | train | mIoU 0.191 | accuracy 0.764 | loss 0.754 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.791 | time idk best model at epoch 3 with miou 0.18948 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomToneCurve(always_apply=False, p=1, scale=1.0)) test | mIoU 0.181 | accuracy 0.584 | loss 1.321 IoUs: [0.58979504 0.0016075 0.11595842 0.01557309]",num-14_mag-30_osl-12 Epoch 150 , train , mIoU 0.191 , accuracy 0.764 , loss 0.754 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.791 ," time idk best model at epoch 3 with miou 0.18948 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomToneCurve(always_apply=False, p=1, scale=1.0)) test ", mIoU 0.181 , accuracy 0.584 , loss 1.321 IoUs: [0.58979504 0.0016075 0.11595842 0.01557309],,,,12,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,18.07,0.58979504 0.0016075 0.11595842 0.01557309,0.58979504,0.0016075,0.11595842,0.01557309,64.5,-46.43
num-13_mag-30_osl-7 ,"num-13_mag-30_osl-7 Epoch 150 | train | mIoU 0.200 | accuracy 0.799 | loss 0.761 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.837 | time idk best model at epoch 5 with miou 0.19138 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test | mIoU 0.182 | accuracy 0.618 | loss 1.285 IoUs: [0.62413018 0.00344578 0.07915759 0.02119127]",num-13_mag-30_osl-7 Epoch 150 , train , mIoU 0.200 , accuracy 0.799 , loss 0.761 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.837 ," time idk best model at epoch 5 with miou 0.19138 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test ", mIoU 0.182 , accuracy 0.618 , loss 1.285 IoUs: [0.62413018 0.00344578 0.07915759 0.02119127],,,,7,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18.20,0.62413018 0.00344578 0.07915759 0.02119127,0.62413018,0.00344578,0.07915759,0.02119127,74.8,-56.60
num-11_mag-30_osl-3 ,"num-11_mag-30_osl-3 Epoch 150 | train | mIoU 0.214 | accuracy 0.858 | loss 0.449 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 1.118 | time idk best model at epoch 12 with miou 0.18927 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomBrightnessContrast(always_apply=False, p=1, brightness_limit=(-1.0, 1.0), contrast_limit=(-1.0, 1.0), brightness_by_max=True)) test | mIoU 0.182 | accuracy 0.653 | loss 1.103 IoUs: [0.6927293 0.02711381 0. 0.0099907 ]",num-11_mag-30_osl-3 Epoch 150 , train , mIoU 0.214 , accuracy 0.858 , loss 0.449 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 1.118 ," time idk best model at epoch 12 with miou 0.18927 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), RandomBrightnessContrast(always_apply=False, p=1, brightness_limit=(-1.0, 1.0), contrast_limit=(-1.0, 1.0), brightness_by_max=True)) test ", mIoU 0.182 , accuracy 0.653 , loss 1.103 IoUs: [0.6927293 0.02711381 0. 0.0099907 ],,,,3,30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,18.25,0.6927293 0.02711381 0. 0.0099907 ,0.6927293,0.02711381,0,0.0099907,35.3,-17.05
num-13_mag-30_osl-0 ,"num-13_mag-30_osl-0 Epoch 150 | train | mIoU 0.182 | accuracy 0.727 | loss 0.816 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.820 | time idk best model at epoch 15 with miou 0.19032 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test | mIoU 0.183 | accuracy 0.692 | loss 1.009 IoUs: [0.70022594 0.00695011 0.00863391 0.01555732]",num-13_mag-30_osl-0 Epoch 150 , train , mIoU 0.182 , accuracy 0.727 , loss 0.816 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.820 ," time idk best model at epoch 15 with miou 0.19032 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), ShiftScaleRotate(always_apply=False, p=1, shift_limit_x=(-1.0, 1.0), shift_limit_y=(-1.0, 1.0), scale_limit=(-0.09999999999999998, 0.10000000000000009), rotate_limit=(-180, 180), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box')) test ", mIoU 0.183 , accuracy 0.692 , loss 1.009 IoUs: [0.70022594 0.00695011 0.00863391 0.01555732],,,,0,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18.28,0.70022594 0.00695011 0.00863391 0.01555732,0.70022594,0.00695011,0.00863391,0.01555732,63,-44.72
num-12_mag-30_osl-7 ,"num-12_mag-30_osl-7 Epoch 150 | train | mIoU 0.173 | accuracy 0.692 | loss 0.886 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.825 | time idk best model at epoch 30 with miou 0.18789 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test | mIoU 0.183 | accuracy 0.734 | loss 0.949 IoUs: [0.73361634 0. 0. 0. ]",num-12_mag-30_osl-7 Epoch 150 , train , mIoU 0.173 , accuracy 0.692 , loss 0.886 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.825 ," time idk best model at epoch 30 with miou 0.18789 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test ", mIoU 0.183 , accuracy 0.734 , loss 0.949 IoUs: [0.73361634 0. 0. 0. ],,,,7,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,18.34,0.73361634 0. 0. 0. ,0.73361634,0,0,0,74.8,-56.46
num-6_mag-30_osl-3 ,"num-6_mag-30_osl-3 Epoch 150 | train | mIoU 0.214 | accuracy 0.855 | loss 0.454 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 1.003 | time idk best model at epoch 21 with miou 0.18786 (Rotate(always_apply=False, p=1, limit=(-270, 270), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box', crop_border=False), Posterize(always_apply=False, p=1, num_bits=(0, 0))) test | mIoU 0.183 | accuracy 0.734 | loss 0.964 IoUs: [0.73364085 0. 0. 0. ]",num-6_mag-30_osl-3 Epoch 150 , train , mIoU 0.214 , accuracy 0.855 , loss 0.454 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 1.003 ," time idk best model at epoch 21 with miou 0.18786 (Rotate(always_apply=False, p=1, limit=(-270, 270), interpolation=1, border_mode=4, value=None, mask_value=None, rotate_method='largest_box', crop_border=False), Posterize(always_apply=False, p=1, num_bits=(0, 0))) test ", mIoU 0.183 , accuracy 0.734 , loss 0.964 IoUs: [0.73364085 0. 0. 0. ],,,,3,30,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,18.34,0.73364085 0. 0. 0. ,0.73364085,0,0,0,35.3,-16.96
num-12_mag-30_osl-9 ,"num-12_mag-30_osl-9 Epoch 150 | train | mIoU 0.181 | accuracy 0.725 | loss 0.838 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 0.801 | time idk best model at epoch 18 with miou 0.18786 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test | mIoU 0.183 | accuracy 0.734 | loss 0.924 IoUs: [0.73364085 0. 0. 0. ]",num-12_mag-30_osl-9 Epoch 150 , train , mIoU 0.181 , accuracy 0.725 , loss 0.838 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 0.801 ," time idk best model at epoch 18 with miou 0.18786 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test ", mIoU 0.183 , accuracy 0.734 , loss 0.924 IoUs: [0.73364085 0. 0. 0. ],,,,9,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,18.34,0.73364085 0. 0. 0. ,0.73364085,0,0,0,63.2,-44.86
num-12_mag-30_osl-4 ,"num-12_mag-30_osl-4 Epoch 150 | train | mIoU 0.139 | accuracy 0.556 | loss 1.145 | lr 1.50e-05 | valid | mIoU 0.188 | accuracy 0.751 | loss 1.082 | time idk best model at epoch 18 with miou 0.18786 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test | mIoU 0.183 | accuracy 0.734 | loss 0.978 IoUs: [0.73364085 0. 0. 0. ]",num-12_mag-30_osl-4 Epoch 150 , train , mIoU 0.139 , accuracy 0.556 , loss 1.145 , lr 1.50e-05 , valid , mIoU 0.188 , accuracy 0.751 , loss 1.082 ," time idk best model at epoch 18 with miou 0.18786 (Posterize(always_apply=False, p=1, num_bits=(0, 0)), FancyPCA(always_apply=False, p=1, alpha=1.0)) test ", mIoU 0.183 , accuracy 0.734 , loss 0.978 IoUs: [0.73364085 0. 0. 0. ],,,,4,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,18.34,0.73364085 0. 0. 0. ,0.73364085,0,0,0,65.2,-46.86
